epoch,learning_rate,train_mse,train_rmse,train_relative_l2,train_seconds,validation_mse,validation_rmse,validation_relative_l2,validation_seconds
1,268333.7804010812,3.6369289421157687,1.9070733971496139,0.9999996158284075,0.7373857516795397,,,,
2,268135.1869550741,1.3581600798403193,1.1654012527195599,0.6110938733173444,0.5250205546617508,,,,
3,267804.4156497334,0.5073461576846308,0.7122823581169414,0.3734948458422723,0.5560769215226173,,,,
4,267341.792916403,0.1897004491017964,0.43554615036962085,0.22838450140389402,0.5224254205822945,,,,
5,266747.7753078675,0.07104206586826348,0.2665371753963478,0.13976235702239534,0.5073182545602322,0.026215937266092816,0.16191336345741453,0.08562324174148378,0.03825245797634125
6,266022.94904779,0.026663594685628744,0.16328990993208595,0.0856232677811021,0.6099017783999443,,,,
7,265168.0294521799,0.010035745696107785,0.10017856904601795,0.05252998165146044,0.580471707507968,,,,
8,264183.8602234623,0.003790361074725549,0.06156590838057657,0.03228291485768698,0.5273046847432852,,,,
9,263071.41261784575,0.001437424954777944,0.037913387540260024,0.019880395286138625,0.5851316340267658,,,,
10,261831.7844868096,0.0005476972324881487,0.023402932134417447,0.012271642600989903,0.6301516871899366,0.00020628847285896956,0.014362746006908622,0.007595326581826697,0.04642299562692642
11,260466.19919365706,0.0002098127719171033,0.014484915323090547,0.007595360815689118,0.7507406789809465,,,,
12,258976.0044062033,8.086483283433134e-05,0.008992487577657884,0.004715332210056778,0.5443612728267908,,,,
13,257362.67076679022,3.1379885492686505e-05,0.00560177520904637,0.0029373664237625275,0.6433403454720974,,,,
14,255627.7904409398,1.2271044306650371e-05,0.0035030050394840103,0.0018368479635945498,0.5335162803530693,,,,
15,253773.07554607894,4.8406437247575165e-06,0.00220014629621703,0.0011536764001948536,0.5306722689419985,1.8962264774802202e-06,0.001377035394418103,0.0007282057017724277,0.043100686743855476
16,251800.35646188646,1.9288411397420003e-06,0.0013888272533839478,0.0007282502718100754,0.6110189352184534,,,,
17,249711.58002392924,7.777544790637232e-07,0.0008819038944600047,0.00046243820787182654,0.5186660867184401,,,,
18,247508.80760237045,3.181478458488297e-07,0.0005640459607592538,0.0002957651110165056,0.5261066071689129,,,,
